id,city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
37586,西安,2013年12月历史天气,8℃,-1℃,15℃,-6℃,0,0,12/01,0,12/01
37587,西安,2013年11月历史天气,13℃,4℃,18℃,-3℃,0,0,11/01,0,11/01
37588,西安,2013年10月历史天气,23℃,12℃,31℃,8℃,0,0,10/01,0,10/01
37589,西安,2013年09月历史天气,28℃,18℃,35℃,12℃,0,0,09/01,0,09/01
37590,西安,2013年08月历史天气,33℃,23℃,38℃,19℃,0,0,08/01,0,08/01
37591,西安,2013年07月历史天气,32℃,24℃,37℃,22℃,0,0,07/01,0,07/01
37592,西安,2013年06月历史天气,33℃,21℃,38℃,16℃,0,0,06/01,0,06/01
37593,西安,2013年05月历史天气,28℃,17℃,36℃,13℃,0,0,05/01,0,05/01
37594,西安,2013年04月历史天气,24℃,11℃,33℃,4℃,0,0,04/01,0,04/01
37595,西安,2013年03月历史天气,20℃,7℃,27℃,1℃,0,0,03/01,0,03/01
37596,西安,2013年02月历史天气,9℃,0℃,15℃,-3℃,0,0,02/01,0,02/01
37597,西安,2013年01月历史天气,6℃,-3℃,13℃,-7℃,0,0,01/01,0,01/01
37598,西安,2012年12月历史天气,5℃,-2℃,12℃,-8℃,0,0,12/01,0,12/01
37599,西安,2012年11月历史天气,11℃,2℃,19℃,-1℃,0,0,11/01,0,11/01
37600,西安,2012年10月历史天气,20℃,11℃,25℃,6℃,0,0,10/01,0,10/01
37601,西安,2012年09月历史天气,25℃,15℃,32℃,10℃,0,0,09/01,0,09/01
37602,西安,2012年08月历史天气,31℃,22℃,35℃,19℃,0,0,08/01,0,08/01
37603,西安,2012年07月历史天气,32℃,23℃,37℃,21℃,0,0,07/01,0,07/01
37604,西安,2012年06月历史天气,32℃,22℃,37℃,19℃,0,0,06/01,0,06/01
37605,西安,2012年05月历史天气,27℃,17℃,33℃,14℃,0,0,05/01,0,05/01
37606,西安,2012年04月历史天气,23℃,9℃,30℃,3℃,0,0,04/01,0,04/01
37607,西安,2012年03月历史天气,13℃,3℃,23℃,0℃,0,0,03/01,0,03/01
37608,西安,2012年02月历史天气,6℃,-1℃,12℃,-8℃,0,0,02/01,0,02/01
37609,西安,2012年01月历史天气,3℃,-3℃,8℃,-7℃,0,0,01/01,0,01/01
37610,西安,2011年12月历史天气,5℃,-1℃,8℃,-4℃,0,0,12/01,0,12/01
37611,西安,2011年11月历史天气,12℃,7℃,17℃,1℃,0,0,11/01,0,11/01
37612,西安,2011年10月历史天气,19℃,11℃,25℃,8℃,0,0,10/01,0,10/01
37613,西安,2011年09月历史天气,21℃,15℃,32℃,10℃,0,0,09/01,0,09/01
37614,西安,2011年08月历史天气,29℃,21℃,36℃,17℃,0,0,08/01,0,08/01
37615,西安,2011年07月历史天气,32℃,23℃,38℃,19℃,0,0,07/01,0,07/01
37616,西安,2011年06月历史天气,31℃,20℃,37℃,19℃,0,0,06/01,0,06/01
37617,西安,2011年05月历史天气,26℃,15℃,36℃,11℃,0,0,05/01,0,05/01
37618,西安,2011年04月历史天气,23℃,12℃,33℃,4℃,0,0,04/01,0,04/01
37619,西安,2011年03月历史天气,14℃,3℃,22℃,1℃,0,0,03/01,0,03/01
37620,西安,2011年02月历史天气,8℃,0℃,17℃,-3℃,0,0,02/01,0,02/01
